__time,/imu/angle,/imu/x,/imu/y,/imu/z
3479421.876200,72.200000000,-7296.000000000,32512.000000000,9840.000000000
3479421.896422,79.600000000,-10944.000000000,25472.000000000,7424.000000000
3479421.924428,83.700000000,-11952.000000000,21552.000000000,6240.000000000
3479421.935890,86.000000000,-12480.000000000,19728.000000000,5824.000000000
3479421.956110,97.900000000,-13488.000000000,11632.000000000,2992.000000000
3479421.977518,115.500000000,-13600.000000000,3792.000000000,304.000000000
3479421.995316,118.900000000,-13584.000000000,2592.000000000,-112.000000000
3479422.024389,138.300000000,-12896.000000000,-3888.000000000,-1984.000000000
3479422.035406,160.800000000,-11088.000000000,-12624.000000000,-4592.000000000
3479422.055475,160.000000000,-11328.000000000,-12384.000000000,-4464.000000000
3479422.086932,166.200000000,-10272.000000000,-15424.000000000,-5376.000000000
3479422.095284,173.200000000,-8592.000000000,-19616.000000000,-6448.000000000
3479422.115654,177.200000000,-7104.000000000,-21952.000000000,-7360.000000000
3479422.148631,182.900000000,-4256.000000000,-24512.000000000,-8016.000000000
3479422.155384,185.000000000,-3152.000000000,-26048.000000000,-7952.000000000
3479422.176711,185.700000000,-2688.000000000,-26160.000000000,-7984.000000000
3479422.212228,189.500000000,-224.000000000,-26416.000000000,-8064.000000000
3479422.215013,193.400000000,2288.000000000,-25392.000000000,-7920.000000000
3479422.235317,194.100000000,2672.000000000,-25328.000000000,-7984.000000000
3479422.270336,198.000000000,4928.000000000,-23824.000000000,-7520.000000000
3479422.275375,207.000000000,8672.000000000,-19056.000000000,-6048.000000000
3479422.295363,206.800000000,8656.000000000,-19264.000000000,-6080.000000000
3479422.322005,212.900000000,10112.000000000,-15648.000000000,-5088.000000000
3479422.335024,224.000000000,11968.000000000,-10544.000000000,-3328.000000000
3479422.354684,237.900000000,13232.000000000,-5248.000000000,-1680.000000000
3479422.374271,12.100000000,14480.000000000,4496.000000000,1136.000000000
3479422.394020,19.100000000,14752.000000000,7584.000000000,2496.000000000
3479422.426060,23.200000000,14672.000000000,9568.000000000,3104.000000000
3479422.434521,37.800000000,13664.000000000,18720.000000000,5904.000000000
3479422.454577,47.300000000,11328.000000000,27136.000000000,8272.000000000
3479422.479971,48.100000000,10880.000000000,27616.000000000,8528.000000000
3479422.494265,53.600000000,7968.000000000,32720.000000000,10208.000000000
3479422.514064,60.500000000,2224.000000000,32720.000000000,11584.000000000
3479422.534879,60.100000000,2528.000000000,32720.000000000,11600.000000000
3479422.554244,63.600000000,-304.000000000,32752.000000000,11536.000000000
3479422.574239,68.500000000,-4272.000000000,32720.000000000,11008.000000000
3479422.607628,72.000000000,-7120.000000000,32416.000000000,9760.000000000
3479422.613957,79.600000000,-10864.000000000,25264.000000000,7200.000000000
3479422.633968,84.100000000,-12096.000000000,21200.000000000,6160.000000000
3479422.662648,85.700000000,-12384.000000000,19824.000000000,5776.000000000
3479422.673570,98.100000000,-13424.000000000,11408.000000000,2960.000000000
3479422.693407,116.000000000,-13520.000000000,3632.000000000,144.000000000
3479422.717003,118.800000000,-13680.000000000,2640.000000000,-96.000000000
3479422.735082,138.100000000,-13040.000000000,-3856.000000000,-2064.000000000
3479422.758287,161.000000000,-11024.000000000,-12688.000000000,-4512.000000000
3479422.774280,160.000000000,-11248.000000000,-12368.000000000,-4480.000000000
3479422.793034,166.500000000,-10160.000000000,-15616.000000000,-5536.000000000
3479422.813356,173.100000000,-8624.000000000,-19632.000000000,-6496.000000000
3479422.833414,177.700000000,-6816.000000000,-22000.000000000,-7280.000000000
3479422.853288,183.100000000,-4176.000000000,-24736.000000000,-8080.000000000
3479422.873129,185.500000000,-2800.000000000,-26000.000000000,-8016.000000000
3479422.893318,185.600000000,-2720.000000000,-26032.000000000,-7936.000000000
3479422.914073,189.400000000,-272.000000000,-26416.000000000,-8080.000000000
3479422.932594,193.800000000,2496.000000000,-25072.000000000,-7904.000000000
3479422.952725,193.800000000,2512.000000000,-25392.000000000,-8000.000000000
3479422.973028,197.900000000,4800.000000000,-23504.000000000,-7424.000000000
3479423.007741,206.800000000,8560.000000000,-19136.000000000,-6016.000000000
3479423.024204,206.800000000,8512.000000000,-18960.000000000,-6096.000000000
3479423.032085,213.000000000,10080.000000000,-15584.000000000,-5040.000000000
3479423.052057,224.200000000,11952.000000000,-10448.000000000,-3376.000000000
3479423.079969,237.300000000,13152.000000000,-5456.000000000,-1824.000000000
3479423.091940,10.800000000,14368.000000000,3952.000000000,1024.000000000
