direction,advance_deg,repeat,baseline_duty,pulse_duty,baseline_advance_deg,baseline_ms,pulse_ms,sample_hz,sample_count,missed_count,mct_fault_delta,faults,baseline_rpm,rpm_50ms,rpm_100ms,rpm_150ms,accel_20_120_rpm_s,accel_40_160_rpm_s,ripple_120_220,monotonic_fraction,valid,note
-1,90,2,100,200,90,700,300,500,150,0,0,0,2190.859872611465,6029.0,5249.0,5148.0,5909.502262443439,-11.131676361713266,0.054410052485785364,1.0,True,
-1,110,0,100,200,90,700,300,500,150,0,0,0,1922.5796178343949,3985.0,4247.0,4397.0,2885.3846153846152,817.3982020095194,0.09452348292367282,1.0,True,
-1,110,1,100,200,90,700,300,500,150,0,0,0,2248.566878980892,3601.0,2993.0,3920.0,2375.8823529411757,137.81068217874113,0.09818913887064346,1.0,True,
-1,110,2,100,200,90,700,300,500,150,0,0,0,2417.0063694267515,4617.0,4237.0,3708.0,2541.5384615384614,2502.802749867795,0.09428378362759712,1.0,True,
-1,130,0,100,200,90,700,300,500,150,0,0,0,2903.12101910828,2809.0,2527.0,2072.0,1382.0814479638009,-3628.7678476996293,0.16339367106692324,1.0,True,
-1,130,1,100,200,90,700,300,500,150,0,0,0,1489.5859872611466,2288.0,2785.0,2847.0,3887.058823529412,-389.3707033315707,0.163161505886365,1.0,True,
-1,130,2,100,200,90,700,300,500,150,0,0,0,2235.764331210191,2423.0,2254.0,2754.0,-1075.0226244343894,138.28662083553692,0.16320332651482755,1.0,True,
-1,150,0,100,200,90,700,300,500,150,0,0,0,2268.6305732484075,427.0,15.0,43.0,-7914.4343891402705,-1354.4420941300898,0.7596195485063053,0.6375838926174496,False,angle_not_monotonic
-1,150,1,100,200,90,700,300,500,150,0,0,0,3034.9681528662422,30.0,40.0,11.0,-8842.895927601809,-838.5510312004229,0.6453872640759846,0.6040268456375839,False,angle_not_monotonic
-1,150,2,100,200,90,700,300,500,150,0,0,0,2593.6624203821657,1109.0,71.0,29.0,-4507.692307692307,-11699.180327868855,0.7160289584840512,0.6442953020134228,False,angle_not_monotonic
