time,loopdelay,magangle,magtemp,magx,magy,magz,step_count,step_mod6
0.152728,150,82,44,-5157,9939,0,5,5
0.154159,150,82,44,-5145,9948,0,5,5
0.155549,150,82,44,-5159,9934,0,5,5
0.15696,150,82,44,-5159,9935,0,5,5
0.158381,150,82,44,-5160,9935,0,5,5
0.159778,150,82,44,-5160,9935,0,5,5
0.161232,150,82,44,-5158,9909,0,5,5
0.162654,150,82,44,-5165,9942,0,5,5
0.164032,150,82,44,-5165,9942,0,5,5
0.165431,150,82,44,-5158,9941,0,5,5
0.166861,150,82,44,-5158,9941,0,5,5
0.168121,150,82,44,-5149,9941,0,5,5
0.169563,150,82,43,-5157,9942,0,5,5
0.170961,150,82,43,-5157,9942,0,5,5
0.172348,150,82,44,-5169,9934,0,5,5
0.173738,150,82,44,-5169,9934,0,5,5
0.175157,150,82,44,-5158,9929,0,5,5
0.176565,150,82,44,-5158,9929,0,5,5
0.301511,150,86,44,-5583,8563,0,6,6
0.303099,150,86,44,-5580,8563,0,6,6
0.30465,150,86,44,-5568,8567,0,6,6
0.306206,150,86,44,-5568,8567,0,6,6
0.307796,150,86,44,-5567,8563,0,6,6
0.309427,150,86,44,-5567,8562,0,6,6
0.311101,150,86,44,-5574,8562,0,6,6
0.312771,150,86,44,-5580,8546,0,6,6
0.31441,150,86,44,-5582,8571,0,6,6
0.315958,150,86,44,-5582,8571,0,6,6
0.317468,150,86,44,-5589,8573,0,6,6
0.319084,150,86,44,-5568,8563,0,6,6
0.320695,150,86,44,-5568,8563,0,6,6
0.322319,150,86,44,-5581,8572,0,6,6
0.323848,150,86,44,-5580,8563,0,6,6
0.325423,150,86,44,-5580,8563,0,6,6
0.450609,150,101,44,-6278,4622,0,7,7
0.452012,150,101,44,-6277,4638,0,7,7
0.453312,150,101,44,-6277,4638,0,7,7
0.454602,150,100,44,-6271,4636,0,7,7
0.455934,150,100,44,-6280,4594,0,7,7
0.457192,150,101,44,-6280,4594,0,7,7
0.458539,150,101,44,-6279,4577,0,7,7
0.459953,150,101,44,-6279,4577,0,7,7
0.461384,150,101,44,-6276,4583,0,7,7
0.462864,150,101,44,-6276,4621,0,7,7
0.46425,150,101,44,-6280,4621,0,7,7
0.465594,150,101,44,-6280,4621,0,7,7
0.46695,150,100,44,-6268,4624,0,7,7
0.468214,150,101,44,-6268,4593,0,7,7
0.46962,150,101,44,-6268,4593,0,7,7
0.471034,150,101,44,-6285,4582,0,7,7
0.472313,150,101,44,-6285,4582,0,7,7
0.473741,150,101,44,-6282,4591,0,7,7
0.47517,150,101,44,-6275,4622,0,7,7
0.600001,150,109,44,-6415,2915,0,8,8
0.601387,150,109,44,-6416,2914,0,8,8
0.602943,150,109,44,-6421,2898,0,8,8
0.604349,150,109,44,-6421,2898,0,8,8
0.605727,150,109,44,-6410,2894,0,8,8
0.607147,150,109,44,-6410,2894,0,8,8
0.608576,150,109,44,-6415,2897,0,8,8
0.610029,150,109,44,-6415,2897,0,8,8
0.611415,150,109,44,-6421,2908,0,8,8
0.61284,150,109,43,-6409,2922,0,8,8
0.614227,150,109,43,-6409,2922,0,8,8
0.615582,150,109,44,-6417,2907,0,8,8
0.616994,150,109,44,-6417,2907,0,8,8
0.61854,150,109,44,-6414,2892,0,8,8
0.619951,150,109,44,-6400,2909,0,8,8
0.621338,150,109,44,-6400,2909,0,8,8
0.622669,150,109,44,-6421,2903,0,8,8
0.624076,150,109,44,-6421,2903,0,8,8
0.750709,150,133,44,-6528,-1141,0,9,9
0.752338,150,133,44,-6526,-1162,0,9,9
0.754031,150,133,44,-6526,-1162,0,9,9
0.75571,150,133,44,-6532,-1162,0,9,9
0.757462,150,133,44,-6528,-1147,0,9,9
0.75923,150,133,44,-6525,-1149,0,9,9
0.760977,150,133,44,-6525,-1149,0,9,9
0.762719,150,133,44,-6537,-1130,0,9,9
0.764477,150,133,44,-6530,-1151,0,9,9
0.766043,150,133,44,-6530,-1151,0,9,9
0.767615,150,133,44,-6519,-1154,0,9,9
0.769221,150,133,43,-6525,-1139,0,9,9
0.770974,150,133,43,-6525,-1139,0,9,9
0.772712,150,133,44,-6527,-1127,0,9,9
0.774477,150,133,44,-6533,-1133,0,9,9
0.900094,150,144,44,-6409,-3045,0,10,10
0.901577,150,144,44,-6407,-3060,0,10,10
0.903092,150,144,44,-6407,-3060,0,10,10
0.904574,150,144,44,-6417,-3079,0,10,10
0.906038,150,144,44,-6417,-3079,0,10,10
0.907485,150,144,44,-6424,-3054,0,10,10
0.909032,150,144,44,-6417,-3043,0,10,10
0.910459,150,144,44,-6417,-3043,0,10,10
0.911848,150,144,44,-6417,-3036,0,10,10
0.913372,150,144,44,-6414,-3055,0,10,10
0.914953,150,144,44,-6414,-3055,0,10,10
0.916467,150,144,44,-6412,-3062,0,10,10
0.918035,150,144,44,-6412,-3062,0,10,10
0.919679,150,144,44,-6414,-3072,0,10,10
0.921317,150,144,44,-6406,-3064,0,10,10
0.922883,150,144,44,-6406,-3064,0,10,10
0.924523,150,144,44,-6421,-3067,0,10,10
1.04917,150,151,44,-6236,-4498,0,11,11
1.05066,150,151,44,-6236,-4496,0,11,11
1.05226,150,151,44,-6242,-4496,0,11,11
1.05388,150,151,44,-6238,-4500,0,11,11
1.05552,150,151,44,-6238,-4500,0,11,11
1.05707,150,151,44,-6248,-4508,0,11,11
1.05866,150,151,44,-6243,-4502,0,11,11
1.0603,150,151,44,-6243,-4502,0,11,11
1.06196,150,151,44,-6245,-4514,0,11,11
1.06353,150,151,44,-6242,-4490,0,11,11
1.06517,150,151,44,-6242,-4506,0,11,11
1.06665,150,151,44,-6242,-4506,0,11,11
1.06816,150,151,44,-6249,-4481,0,11,11
1.06974,150,151,44,-6249,-4515,0,11,11
1.07132,150,151,44,-6237,-4515,0,11,11
1.07297,150,151,44,-6248,-4482,0,11,11
1.19916,150,156,44,-6036,-5477,0,12,12
1.20068,150,156,43,-6040,-5457,0,12,12
1.20225,150,156,43,-6040,-5463,0,12,12
1.20383,150,156,43,-6044,-5463,0,12,12
1.20526,150,156,44,-6031,-5488,0,12,12
1.20671,150,156,44,-6031,-5488,0,12,12
1.20817,150,156,44,-6013,-5494,0,12,12
1.20971,150,156,44,-6030,-5477,0,12,12
1.21131,150,156,44,-6030,-5477,0,12,12
1.21287,150,156,44,-6025,-5477,0,12,12
1.21443,150,156,44,-6036,-5466,0,12,12
1.21594,150,156,44,-6036,-5466,0,12,12
1.21746,150,156,44,-6035,-5464,0,12,12
1.21905,150,156,44,-6035,-5464,0,12,12
1.22047,150,156,44,-6036,-5484,0,12,12
1.22203,150,156,43,-6025,-5469,0,12,12
1.34843,150,167,44,-5232,-8547,0,13,13
1.34995,150,167,44,-5219,-8580,0,13,13
1.35143,150,167,44,-5219,-8580,0,13,13
1.35297,150,167,44,-5221,-8580,0,13,13
1.35456,150,167,44,-5218,-8548,0,13,13
1.35621,150,167,44,-5218,-8548,0,13,13
1.35776,150,167,44,-5227,-8552,0,13,13
1.3594,150,167,45,-5226,-8539,0,13,13
1.36096,150,167,45,-5226,-8539,0,13,13
1.36256,150,167,44,-5235,-8545,0,13,13
1.3642,150,167,44,-5226,-8569,0,13,13
1.36571,150,167,44,-5216,-8558,0,13,13
1.36724,150,167,44,-5216,-8558,0,13,13
1.36887,150,167,44,-5221,-8548,0,13,13
1.37052,150,167,44,-5221,-8533,0,13,13
1.37208,150,167,44,-5226,-8533,0,13,13
1.49821,150,170,44,-4892,-9236,0,14,14
1.49983,150,170,44,-4892,-9236,0,14,14
1.50135,150,170,44,-4889,-9227,0,14,14
1.50294,150,170,44,-4889,-9227,0,14,14
1.50445,150,170,44,-4888,-9230,0,14,14
1.50607,150,170,44,-4888,-9222,0,14,14
1.50763,150,170,44,-4898,-9222,0,14,14
1.50921,150,170,44,-4879,-9226,0,14,14
1.51087,150,170,44,-4891,-9233,0,14,14
1.51252,150,170,44,-4891,-9233,0,14,14
1.5141,150,170,44,-4894,-9221,0,14,14
1.51569,150,170,44,-4892,-9230,0,14,14
1.51726,150,170,44,-4892,-9230,0,14,14
1.51874,150,170,44,-4880,-9218,0,14,14
1.52028,150,170,44,-4894,-9231,0,14,14
1.52188,150,170,44,-4894,-9231,0,14,14
1.64751,150,174,45,-4318,-10558,0,15,15
1.64905,150,174,44,-4323,-10558,0,15,15
1.65058,150,174,44,-4323,-10565,0,15,15
1.65208,150,174,44,-4325,-10565,0,15,15
1.65368,150,174,44,-4335,-10556,0,15,15
1.65532,150,174,44,-4338,-10535,0,15,15
1.65688,150,174,44,-4338,-10535,0,15,15
1.65852,150,174,44,-4323,-10542,0,15,15
1.66008,150,174,44,-4321,-10556,0,15,15
1.6617,150,174,44,-4321,-10556,0,15,15
1.6633,150,174,44,-4322,-10571,0,15,15
1.66488,150,174,44,-4329,-10557,0,15,15
1.6664,150,174,44,-4329,-10569,0,15,15
1.66784,150,174,44,-4317,-10569,0,15,15
1.66939,150,174,44,-4317,-10547,0,15,15
1.67099,150,174,45,-4331,-10547,0,15,15
1.7967,150,177,44,-3569,-11315,0,16,16
1.7984,150,177,44,-3549,-11308,0,16,16
1.79995,150,177,44,-3544,-11334,0,16,16
1.80147,150,177,44,-3544,-11334,0,16,16
1.80308,150,177,44,-3550,-11318,0,16,16
1.80485,150,177,44,-3549,-11318,0,16,16
1.80654,150,177,44,-3549,-11318,0,16,16
1.80832,150,177,44,-3564,-11324,0,16,16
1.80999,150,177,44,-3563,-11297,0,16,16
1.81171,150,177,44,-3557,-11319,0,16,16
