time,loopdelay,magangle,magtemp,magx,magy,magz,step_count,step_mod6
1.92833,150,55,37,3590,17328,0,89,17
1.92992,150,54,37,3618,17318,0,89,17
1.93148,150,54,37,3607,17331,0,89,17
1.933,150,55,37,3607,17331,0,89,17
1.9346,150,55,37,3603,17331,0,89,17
1.93611,150,55,37,3603,17330,0,89,17
1.93769,150,55,37,3604,17330,0,89,17
1.93922,150,55,37,3604,17316,0,89,17
1.94072,150,55,37,3607,17316,0,89,17
1.94222,150,55,37,3615,17320,0,89,17
1.94372,150,55,37,3615,17320,0,89,17
1.9452,150,55,37,3609,17309,0,89,17
1.94674,150,55,37,3601,17326,0,89,17
1.94819,150,55,37,3601,17310,0,89,17
1.94969,150,55,38,3609,17310,0,89,17
1.95124,150,55,38,3609,17303,0,89,17
1.95274,150,55,38,3598,17303,0,89,17
2.07747,150,57,37,2641,17846,0,90,18
2.07877,150,57,37,2641,17842,0,90,18
2.08005,150,57,37,2656,17842,0,90,18
2.08137,150,57,37,2692,17834,0,90,18
2.08264,150,57,37,2692,17834,0,90,18
2.08394,150,57,37,2668,17818,0,90,18
2.08523,150,57,38,2668,17818,0,90,18
2.08659,150,57,37,2657,17836,0,90,18
2.08787,150,57,37,2657,17836,0,90,18
2.0892,150,57,37,2651,17837,0,90,18
2.09051,150,57,37,2651,17837,0,90,18
2.09184,150,57,37,2648,17829,0,90,18
2.09313,150,57,37,2648,17829,0,90,18
2.09449,150,57,37,2657,17852,0,90,18
2.09584,150,57,37,2660,17825,0,90,18
2.09731,150,57,37,2660,17825,0,90,18
2.09907,150,57,37,2653,17842,0,90,18
2.10052,150,57,37,2653,17842,0,90,18
2.10201,150,57,37,2657,17842,0,90,18
2.2279,150,63,37,-278,17142,0,91,19
2.22948,150,63,37,-282,17146,0,91,19
2.231,150,63,37,-242,17164,0,91,19
2.23248,150,63,37,-242,17164,0,91,19
2.23394,150,63,38,-215,17162,0,91,19
2.23548,150,63,38,-213,17168,0,91,19
2.237,150,63,37,-213,17168,0,91,19
2.23851,150,63,37,-240,17153,0,91,19
2.24001,150,63,38,-240,17153,0,91,19
2.24152,150,63,37,-264,17150,0,91,19
2.24301,150,63,37,-264,17150,0,91,19
2.24451,150,63,37,-257,17133,0,91,19
2.246,150,63,37,-244,17156,0,91,19
2.24752,150,63,37,-220,17166,0,91,19
2.24899,150,63,37,-220,17166,0,91,19
2.2505,150,63,37,-240,17174,0,91,19
2.377,150,66,38,-1249,16636,0,92,20
2.3785,150,66,38,-1261,16616,0,92,20
2.38001,150,66,38,-1257,16628,0,92,20
2.38149,150,66,37,-1257,16628,0,92,20
2.38292,150,66,37,-1272,16612,0,92,20
2.38448,150,66,38,-1272,16612,0,92,20
2.38592,150,66,37,-1257,16622,0,92,20
2.38747,150,66,37,-1257,16622,0,92,20
2.38893,150,66,37,-1253,16630,0,92,20
2.39048,150,66,37,-1252,16634,0,92,20
2.39193,150,66,37,-1256,16609,0,92,20
2.39348,150,66,38,-1256,16609,0,92,20
2.395,150,66,38,-1270,16633,0,92,20
2.39651,150,66,37,-1270,16633,0,92,20
