time,loopdelay,magangle,magtemp,magx,magy,magz,step_count,step_mod6
0.211599,150,298.889,32,-2495,-12221,0,42,6
0.212904,150,298.889,32,-2485,-12226,0,42,6
0.214237,150,298.889,32,-2485,-12235,0,42,6
0.215611,150,300.0,32,-2474,-12235,0,42,6
0.217014,150,300.0,32,-2474,-12235,0,42,6
0.218429,150,300.0,31,-2478,-12227,0,42,6
0.219842,150,300.0,32,-2474,-12239,0,42,6
0.221237,150,300.0,32,-2474,-12239,0,42,6
0.222625,150,300.0,31,-2472,-12221,0,42,6
0.224047,150,300.0,31,-2472,-12221,0,42,6
0.225432,150,300.0,31,-2475,-12226,0,42,6
0.226821,150,298.889,31,-2485,-12210,0,42,6
0.228228,150,298.889,31,-2485,-12210,0,42,6
0.229603,150,298.889,32,-2476,-12236,0,42,6
0.230922,150,300.0,32,-2476,-12236,0,42,6
0.232343,150,300.0,32,-2473,-12241,0,42,6
0.233766,150,300.0,32,-2473,-12241,0,42,6
0.361598,150,310.0,31,-1324,-12656,0,43,7
0.363125,150,310.0,31,-1324,-12657,0,43,7
0.364676,150,310.0,32,-1327,-12641,0,43,7
0.366273,150,310.0,32,-1327,-12641,0,43,7
0.36777,150,310.0,32,-1307,-12651,0,43,7
0.369372,150,310.0,31,-1287,-12662,0,43,7
0.370946,150,310.0,31,-1287,-12662,0,43,7
0.372534,150,310.0,31,-1304,-12665,0,43,7
0.374162,150,310.0,31,-1322,-12642,0,43,7
0.375838,150,310.0,31,-1322,-12642,0,43,7
0.377438,150,310.0,32,-1314,-12647,0,43,7
0.379002,150,310.0,32,-1314,-12667,0,43,7
0.380477,150,310.0,31,-1318,-12667,0,43,7
0.382053,150,310.0,31,-1304,-12661,0,43,7
0.383704,150,310.0,31,-1304,-12661,0,43,7
0.511585,150,320.0,32,-698,-12357,0,44,8
0.51311,150,320.0,32,-704,-12357,0,44,8
0.514578,150,320.0,31,-694,-12347,0,44,8
0.516059,150,320.0,31,-694,-12347,0,44,8
0.517696,150,320.0,32,-690,-12366,0,44,8
0.519271,150,320.0,32,-697,-12360,0,44,8
0.520946,150,320.0,32,-697,-12360,0,44,8
0.522602,150,320.0,32,-702,-12345,0,44,8
0.524249,150,320.0,31,-709,-12348,0,44,8
0.525813,150,320.0,31,-709,-12348,0,44,8
0.527401,150,320.0,31,-695,-12347,0,44,8
0.528873,150,320.0,31,-708,-12349,0,44,8
0.53043,150,320.0,31,-708,-12349,0,44,8
0.531947,150,320.0,32,-705,-12345,0,44,8
0.533594,150,320.0,32,-705,-12337,0,44,8
0.661484,150,330.0,31,786,-11792,0,45,9
0.662978,150,330.0,32,786,-11792,0,45,9
0.664559,150,330.0,32,784,-11806,0,45,9
0.666127,150,330.0,31,784,-11806,0,45,9
0.667718,150,330.0,31,795,-11788,0,45,9
0.66927,150,330.0,32,812,-11769,0,45,9
0.670906,150,330.0,32,812,-11769,0,45,9
0.672484,150,330.0,32,812,-11780,0,45,9
0.674067,150,330.0,31,799,-11780,0,45,9
