time [s],magx,magy,magz,step_count,
1.68075,-3293,-30735,nan,32,
1.69083,-3304,-30725,nan,32,
1.70068,-3309,-30737,nan,32,
1.71072,-3292,-30727,nan,32,
1.72079,-3298,-30737,nan,32,
1.73072,-3296,-30733,nan,32,
1.7408,-3295,-30762,nan,32,
1.75077,-3315,-30735,nan,32,
1.7607,-3307,-30739,nan,32,
1.77091,-3314,-30775,nan,32,
1.78075,-3282,-30769,nan,33,
1.79091,646,-32416,nan,33,
1.80072,-167,-32384,nan,33,
1.81075,-1205,-32159,nan,33,
1.82086,-1563,-31938,nan,33,
1.83073,-1644,-31834,nan,33,
1.84084,-1477,-31912,nan,33,
1.85075,-1565,-31856,nan,33,
1.86072,-1565,-31860,nan,33,
1.87084,-1554,-31926,nan,33,
1.88079,-1540,-31888,nan,33,
1.8908,-1546,-31895,nan,33,
1.90083,-1534,-31877,nan,33,
1.9107,-1527,-31880,nan,33,
1.92084,-1544,-31880,nan,33,
1.93092,-1548,-31885,nan,33,
1.94091,-1553,-31910,nan,33,
1.95081,-1564,-31875,nan,33,
1.96074,-1554,-31911,nan,33,
1.97092,-1544,-31880,nan,33,
1.98076,-1494,-31977,nan,34,
1.99088,3905,-32373,nan,34,
2.00078,788,-32384,nan,34,
2.0107,3121,-32415,nan,34,
2.02087,1418,-32384,nan,34,
2.03071,2500,-32383,nan,34,
2.0408,1927,-32384,nan,34,
2.05081,2116,-32384,nan,34,
2.06068,2054,-32384,nan,34,
2.0709,2073,-32384,nan,34,
2.0807,2096,-32384,nan,34,
2.09071,2065,-32384,nan,34,
2.10124,2075,-32416,nan,34,
2.11069,2096,-32384,nan,34,
2.12093,2069,-32384,nan,34,
2.13067,2062,-32384,nan,34,
2.14088,2070,-32384,nan,34,
2.15071,2072,-32384,nan,34,
2.16067,2080,-32384,nan,34,
2.17082,2063,-32384,nan,34,
2.18079,2495,-32384,nan,35,
2.19073,5197,-31986,nan,35,
2.20073,3315,-32384,nan,35,
2.21071,4563,-32101,nan,35,
2.22086,4059,-32287,nan,35,
2.23066,4204,-32224,nan,35,
2.24079,4186,-32235,nan,35,
2.25072,4211,-32221,nan,35,
2.26072,4173,-32227,nan,35,
2.27082,4203,-32228,nan,35,
2.2807,4192,-32220,nan,35,
2.29081,4199,-32240,nan,35,
2.30081,4187,-32215,nan,35,
2.31067,4178,-32242,nan,35,
2.32087,4195,-32223,nan,35,
2.33085,4176,-32231,nan,35,
2.34079,4195,-32224,nan,35,
2.35082,4205,-32206,nan,35,
2.3607,4204,-32256,nan,35,
2.37086,4171,-32231,nan,35,
2.38071,4260,-32261,nan,36,
2.39083,7953,-29737,nan,36,
2.4008,7377,-30454,nan,36,
2.41073,8051,-29753,nan,36,
2.42084,7644,-30022,nan,36,
2.43071,7939,-29814,nan,36,
2.44091,7857,-29876,nan,36,
