time,loopdelay,magangle,magtemp,magx,magy,magz,step_count
0.0105018,150,289.445,31,-2995,-12161,0,41
0.0124845,150,288.889,31,-2967,-12186,0,41
0.0140291,150,289.445,31,-2929,-12215,0,41
0.0154858,150,290,31,-2929,-12215,0,41
0.0170128,150,290,31,-2896,-12210,0,41
0.0184965,150,290,31,-2896,-12210,0,41
0.0199876,150,290,32,-2879,-12228,0,41
0.0214792,150,290,32,-2879,-12228,0,41
0.0228936,150,290,31,-2882,-12226,0,41
0.0244345,150,290,31,-2905,-12220,0,41
0.0258251,150,290,31,-2918,-12200,0,41
0.0272231,150,290,31,-2918,-12200,0,41
0.028505,150,290,31,-2918,-12200,0,41
0.0297868,150,290,31,-2933,-12204,0,41
0.0312584,150,290,32,-2911,-12201,0,41
0.0325139,150,290,32,-2911,-12201,0,41
0.0337589,150,290,32,-2902,-12220,0,41
0.0350619,150,290,31,-2902,-12220,0,41
0.0364045,150,290,31,-2899,-12204,0,41
0.0377098,150,290,31,-2899,-12204,0,41
0.0389931,150,290,31,-2891,-12224,0,41
0.0403302,150,290,31,-2891,-12224,0,41
0.0415862,150,290,31,-2904,-12211,0,41
0.0429098,150,290,31,-2916,-12206,0,41
0.044227,150,290,31,-2916,-12206,0,41
0.045514,150,290,31,-2916,-12223,0,41
0.0469062,150,290,31,-2921,-12223,0,41
0.0482119,150,290,31,-2912,-12215,0,41
0.0494062,150,290,31,-2912,-12215,0,41
0.0506713,150,290,31,-2904,-12213,0,41
0.0519105,150,290,32,-2904,-12213,0,41
0.0532125,150,290,31,-2900,-12210,0,41
0.0544192,150,290,31,-2900,-12210,0,41
0.0556598,150,290,31,-2909,-12206,0,41
0.0568866,150,290,31,-2909,-12206,0,41
0.0580763,150,290,31,-2915,-12208,0,41
0.0593265,150,290,31,-2915,-12208,0,41
0.0605571,150,290,31,-2911,-12213,0,41
0.0617468,150,290,31,-2911,-12213,0,41
0.0629991,150,290,31,-2902,-12210,0,41
0.0644019,150,290,31,-2902,-12210,0,41
0.0658169,150,290,31,-2905,-12204,0,41
0.0671628,150,290,31,-2905,-12204,0,41
0.0685281,150,290,31,-2901,-12203,0,41
0.069832,150,290,31,-2900,-12213,0,41
0.071138,150,290,31,-2900,-12213,0,41
0.0725477,150,290,31,-2913,-12218,0,41
0.0739537,150,290,31,-2913,-12218,0,41
0.0753493,150,290,32,-2915,-12193,0,41
0.0767402,150,290,32,-2911,-12215,0,41
0.0781438,150,290,32,-2911,-12215,0,41
0.07939,150,290,32,-2911,-12213,0,41
0.080726,150,290,31,-2914,-12213,0,41
0.0820667,150,290,32,-2900,-12216,0,41
0.0834477,150,290,32,-2900,-12216,0,41
0.0848259,150,290,32,-2911,-12200,0,41
0.0862301,150,290,32,-2911,-12200,0,41
0.0876202,150,290,32,-2912,-12209,0,41
0.0889515,150,290,31,-2909,-12204,0,41
0.0902751,150,290,31,-2909,-12204,0,42
0.091738,150,290,31,-2901,-12219,0,42
0.0931171,150,290,31,-2901,-12219,0,42
0.0945287,150,291.111,32,-2862,-12233,0,42
0.0958138,150,291.111,32,-2862,-12233,0,42
0.0971436,150,296.667,31,-2628,-12262,0,42
0.0985527,150,296.667,31,-2628,-12264,0,42
0.0999498,150,300,31,-2248,-12264,0,42
0.101373,150,300,31,-1880,-12418,0,42
0.10273,150,300,31,-1880,-12418,0,42
0.104149,150,304.445,32,-1572,-12593,0,42
0.105524,150,304.445,32,-1572,-12619,0,42
0.106948,150,305.556,31,-1524,-12619,0,42
0.1085,150,305.556,31,-1524,-12619,0,42
0.110058,150,301.111,31,-1703,-12519,0,42
0.111623,150,300,30,-1948,-12374,0,42
0.11311,150,300,30,-1948,-12374,0,42
0.114682,150,300,32,-2167,-12292,0,42
0.116276,150,300,32,-2380,-12242,0,42
0.117836,150,300,32,-2552,-12235,0,42
0.119466,150,297.778,31,-2552,-12235,0,42
0.120986,150,297.778,31,-2629,-12243,0,42
0.122642,150,296.667,31,-2629,-12234,0,42
0.124262,150,297.778,32,-2545,-12234,0,42
0.12586,150,297.778,32,-2422,-12226,0,42
0.127504,150,300,31,-2422,-12253,0,42
0.128994,150,300,31,-2304,-12253,0,42
0.130551,150,300,31,-2304,-12262,0,42
0.132152,150,300,32,-2265,-12262,0,42
0.133765,150,300,32,-2297,-12238,0,42
0.135386,150,300,32,-2362,-12235,0,42
0.136949,150,300,32,-2362,-12235,0,42
0.138518,150,300,32,-2468,-12225,0,42
0.140135,150,297.778,31,-2554,-12240,0,42
0.141716,150,297.778,31,-2554,-12240,0,42
0.1433,150,297.778,32,-2557,-12243,0,42
0.144908,150,297.778,32,-2487,-12230,0,42
0.146429,150,298.889,32,-2487,-12236,0,42
0.148247,150,300,32,-2421,-12236,0,42
0.14981,150,300,31,-2405,-12229,0,42
0.151382,150,300,31,-2405,-12232,0,42
0.152956,150,300,31,-2442,-12232,0,42
0.154593,150,300,31,-2504,-12226,0,42
0.15615,150,298.889,32,-2504,-12226,0,42
0.157666,150,298.889,31,-2525,-12241,0,42
0.159229,150,298.889,31,-2525,-12241,0,42
0.160779,150,298.889,31,-2504,-12233,0,42
0.162273,150,300,31,-2464,-12234,0,42
0.163769,150,300,31,-2446,-12215,0,42
0.165278,150,300,31,-2446,-12215,0,42
0.166778,150,300,31,-2457,-12234,0,42
0.168226,150,300,31,-2457,-12229,0,42
0.169604,150,298.889,31,-2486,-12229,0,42
0.170876,150,298.889,31,-2486,-12229,0,42
0.172175,150,298.889,30,-2507,-12232,0,42
0.173518,150,298.889,30,-2500,-12241,0,42
0.174776,150,298.889,32,-2500,-12241,0,42
0.176054,150,298.889,32,-2500,-12241,0,42
0.177343,150,300,32,-2470,-12231,0,42
0.178611,150,300,32,-2454,-12234,0,42
0.179869,150,300,32,-2454,-12234,0,42
0.18122,150,300,31,-2469,-12228,0,42
0.182514,150,300,31,-2469,-12228,0,42
0.183835,150,298.889,31,-2487,-12215,0,42
0.185237,150,298.889,31,-2487,-12215,0,42
0.186622,150,298.889,32,-2502,-12239,0,42
0.188018,150,298.889,32,-2502,-12239,0,42
0.18947,150,300,32,-2485,-12239,0,42
0.190826,150,300,32,-2479,-12239,0,42
0.192255,150,300,32,-2479,-12226,0,42
0.193615,150,300,31,-2477,-12226,0,42
0.194989,150,300,31,-2477,-12226,0,42
0.196351,150,300,31,-2482,-12229,0,42
0.197692,150,300,31,-2483,-12239,0,42
0.199047,150,300,31,-2483,-12239,0,42
0.200429,150,300,31,-2485,-12235,0,42
0.201844,150,300,31,-2485,-12235,0,42
0.203236,150,300,32,-2484,-12229,0,42
0.204621,150,300,32,-2484,-12229,0,42
0.20602,150,300,31,-2472,-12231,0,42
0.20743,150,300,31,-2478,-12240,0,42
0.208823,150,300,31,-2478,-12240,0,42
0.210234,150,298.889,32,-2495,-12221,0,42
0.211599,150,298.889,32,-2495,-12221,0,42
0.212904,150,298.889,32,-2485,-12226,0,42
0.214237,150,298.889,32,-2485,-12235,0,42
0.215611,150,300,32,-2474,-12235,0,42
0.217014,150,300,32,-2474,-12235,0,42
0.218429,150,300,31,-2478,-12227,0,42
0.219842,150,300,32,-2474,-12239,0,42
0.221237,150,300,32,-2474,-12239,0,42
0.222625,150,300,31,-2472,-12221,0,42
0.224047,150,300,31,-2472,-12221,0,42
0.225432,150,300,31,-2475,-12226,0,42
0.226821,150,298.889,31,-2485,-12210,0,42
0.228228,150,298.889,31,-2485,-12210,0,42
0.229603,150,298.889,32,-2476,-12236,0,42
0.230922,150,300,32,-2476,-12236,0,42
0.232343,150,300,32,-2473,-12241,0,42
0.233766,150,300,32,-2473,-12241,0,42
0.235296,150,300,32,-2486,-12244,0,42
0.236852,150,300,32,-2474,-12216,0,42
0.238498,150,300,32,-2481,-12224,0,42
0.240111,150,300,32,-2481,-12224,0,43
0.2417,150,300,31,-2483,-12230,0,43
0.243258,150,300,31,-2483,-12226,0,43
0.244783,150,300,31,-2429,-12226,0,43
0.24637,150,300,31,-2429,-12293,0,43
0.247883,150,300,32,-2200,-12293,0,43
0.249477,150,302.222,31,-1646,-12546,0,43
0.251032,150,302.222,31,-1646,-12546,0,43
0.252612,150,317.272,31,-878,-12493,0,43
0.254252,150,321.333,31,-476,-12317,0,43
0.255832,150,320.333,31,-615,-12366,0,43
0.257386,150,320.333,31,-615,-12366,0,43
0.2589,150,311.818,31,-1162,-12602,0,43
0.260455,150,311.818,31,-1715,-12547,0,43
0.261911,150,301.111,31,-1715,-12547,0,43
0.263265,150,301.111,31,-1870,-12417,0,43
0.264725,150,300,32,-1870,-12417,0,43
0.266015,150,303.334,32,-1614,-12572,0,43
0.26734,150,303.334,32,-1614,-12572,0,43
0.268619,150,312.727,31,-1102,-12598,0,43
0.269937,150,312.727,31,-1102,-12598,0,43
0.271256,150,319.091,31,-766,-12428,0,43
0.272584,150,317.272,31,-832,-12485,0,43
0.273867,150,317.272,31,-832,-12485,0,43
0.275142,150,317.272,31,-832,-12631,0,43
0.276399,150,310.909,31,-1229,-12631,0,43
0.277672,150,303.334,32,-1599,-12620,0,43
0.278955,150,303.334,32,-1599,-12620,0,43
0.280235,150,303.334,32,-1706,-12561,0,43
0.281585,150,301.111,32,-1706,-12561,0,43
0.282842,150,305.556,32,-1512,-12638,0,43
0.28409,150,305.556,32,-1162,-12636,0,43
0.285395,150,311.818,31,-1162,-12636,0,43
0.286677,150,311.818,31,-1162,-12636,0,43
0.287934,150,316.364,31,-929,-12530,0,43
0.289225,150,316.364,31,-966,-12543,0,43
0.290504,150,315.454,31,-966,-12543,0,43
0.291753,150,315.454,31,-966,-12543,0,43
0.293015,150,310.909,31,-1233,-12651,0,43
0.294325,150,310.909,31,-1502,-12632,0,43
0.295598,150,305.556,31,-1502,-12632,0,43
0.296891,150,305.556,31,-1502,-12632,0,43
0.298222,150,303.334,31,-1596,-12611,0,43
0.2995,150,306.667,31,-1471,-12652,0,43
0.300757,150,306.667,31,-1471,-12652,0,43
0.302036,150,310.909,31,-1231,-12647,0,43
0.303331,150,310.909,31,-1231,-12647,0,43
0.304549,150,313.637,31,-1068,-12610,0,43
0.305791,150,313.637,31,-1068,-12610,0,43
0.307064,150,313.637,31,-1052,-12599,0,43
0.308331,150,313.637,31,-1052,-12599,0,43
0.309593,150,310.909,31,-1221,-12638,0,43
0.310864,150,310.909,31,-1221,-12646,0,43
0.312104,150,307.778,31,-1400,-12646,0,43
0.313437,150,307.778,31,-1400,-12646,0,43
0.314776,150,306.667,31,-1483,-12661,0,43
0.316045,150,306.667,31,-1436,-12648,0,43
0.317428,150,306.667,31,-1436,-12648,0,43
0.318966,150,310,32,-1299,-12651,0,43
0.320591,150,310,32,-1299,-12651,0,43
0.322172,150,310.909,32,-1188,-12641,0,43
0.323735,150,311.818,32,-1158,-12623,0,43
0.325376,150,311.818,32,-1158,-12623,0,43
0.326922,150,310,32,-1238,-12636,0,43
0.328441,150,310,32,-1333,-12653,0,43
0.329981,150,310,32,-1333,-12652,0,43
0.331636,150,307.778,32,-1394,-12652,0,43
0.333115,150,307.778,32,-1390,-12650,0,43
0.334663,150,307.778,32,-1390,-12650,0,43
0.336234,150,310,32,-1323,-12655,0,43
0.337819,150,310,32,-1323,-12655,0,43
0.339409,150,310,32,-1256,-12641,0,43
0.341027,150,310,32,-1243,-12648,0,43
0.342609,150,310,32,-1243,-12648,0,43
0.344254,150,310,32,-1283,-12641,0,43
0.345761,150,308.889,32,-1335,-12637,0,43
0.347243,150,308.889,32,-1354,-12651,0,43
0.348813,150,308.889,32,-1354,-12651,0,43
0.350397,150,308.889,32,-1336,-12645,0,43
0.351965,150,308.889,32,-1336,-12638,0,43
0.353588,150,310,31,-1300,-12638,0,43
0.355171,150,310,31,-1271,-12637,0,43
0.356802,150,310,31,-1271,-12637,0,43
0.358402,150,310,31,-1284,-12636,0,43
0.360014,150,310,31,-1284,-12656,0,43
0.361598,150,310,31,-1324,-12656,0,43
0.363125,150,310,31,-1324,-12657,0,43
0.364676,150,310,32,-1327,-12641,0,43
0.366273,150,310,32,-1327,-12641,0,43
0.36777,150,310,32,-1307,-12651,0,43
0.369372,150,310,31,-1287,-12662,0,43
0.370946,150,310,31,-1287,-12662,0,43
0.372534,150,310,31,-1304,-12665,0,43
0.374162,150,310,31,-1322,-12642,0,43
0.375838,150,310,31,-1322,-12642,0,43
0.377438,150,310,32,-1314,-12647,0,43
0.379002,150,310,32,-1314,-12667,0,43
0.380477,150,310,31,-1318,-12667,0,43
0.382053,150,310,31,-1304,-12661,0,43
0.383704,150,310,31,-1304,-12661,0,43
0.385285,150,310,32,-1301,-12642,0,43
0.386916,150,310,31,-1310,-12664,0,43
0.388489,150,310,31,-1310,-12664,0,43
0.390082,150,310,32,-1325,-12649,0,44
0.391717,150,310,32,-1313,-12653,0,44
0.393267,150,310,32,-1260,-12628,0,44
0.394852,150,310,32,-1260,-12628,0,44
0.39637,150,310,31,-961,-12512,0,44
0.397854,150,315.454,31,-961,-12301,0,44
0.399514,150,320.667,31,-544,-12301,0,44
0.401146,150,320.667,31,-175,-12229,0,44
0.402734,150,323.333,31,-175,-12229,0,44
0.404473,150,323.667,32,-109,-12218,0,44
0.406092,150,323.667,32,-392,-12279,0,44
0.407734,150,321.667,32,-392,-12279,0,44
0.409476,150,319.091,32,-759,-12377,0,44
0.411041,150,314.545,32,-1014,-12527,0,44
0.412573,150,314.545,32,-1014,-12527,0,44
0.414066,150,314.545,31,-1020,-12531,0,44
0.415678,150,318.182,32,-807,-12414,0,44
0.417106,150,318.182,32,-807,-12414,0,44
0.418401,150,320.667,32,-538,-12289,0,44
0.419786,150,320.667,32,-538,-12239,0,44
0.42114,150,322,32,-335,-12239,0,44
0.422519,150,322.333,32,-318,-12234,0,44
0.423864,150,322.333,32,-318,-12234,0,44
0.425115,150,322.333,32,-474,-12257,0,44
0.426492,150,321.333,32,-474,-12257,0,44
0.427756,150,320,31,-682,-12336,0,44
0.429017,150,320,31,-682,-12336,0,44
0.430409,150,317.272,32,-853,-12424,0,44
0.431666,150,317.272,32,-853,-12470,0,44
0.432909,150,316.364,32,-921,-12470,0,44
0.434217,150,316.364,32,-921,-12470,0,44
0.435509,150,317.272,32,-842,-12428,0,44
0.436796,150,317.272,32,-693,-12355,0,44
0.43814,150,320,32,-693,-12355,0,44
0.439417,150,320.667,31,-575,-12291,0,44
0.440684,150,320.667,31,-575,-12291,0,44
0.441953,150,320.667,31,-501,-12276,0,44
0.443222,150,321,31,-501,-12276,0,44
0.44451,150,321,31,-509,-12273,0,44
0.445772,150,321,31,-509,-12273,0,44
0.447085,150,321,32,-601,-12307,0,44
0.448519,150,320.333,32,-601,-12307,0,44
0.449818,150,320,31,-707,-12351,0,44
0.451101,150,320,31,-707,-12351,0,44
0.45243,150,318.182,32,-775,-12382,0,44
0.453713,150,318.182,32,-775,-12391,0,44
0.455032,150,318.182,32,-801,-12391,0,44
0.456327,150,319.091,32,-771,-12397,0,44
0.457574,150,319.091,32,-771,-12397,0,44
0.458864,150,319.091,32,-720,-12359,0,44
0.460112,150,320,32,-720,-12359,0,44
0.461413,150,320,32,-653,-12325,0,44
0.462769,150,320,32,-653,-12325,0,44
0.464122,150,320,32,-631,-12314,0,44
0.465507,150,320,32,-631,-12314,0,44
0.466774,150,320,32,-650,-12316,0,44
0.468084,150,320,32,-677,-12333,0,44
0.469542,150,320,32,-677,-12333,0,44
0.470933,150,320,32,-720,-12345,0,44
0.472339,150,320,31,-720,-12345,0,44
0.473724,150,319.091,31,-734,-12364,0,44
0.47511,150,319.091,31,-734,-12364,0,44
0.476541,150,320,32,-715,-12353,0,44
0.478108,150,320,31,-708,-12333,0,44
0.479666,150,320,31,-708,-12333,0,44
0.481158,150,320,31,-686,-12334,0,44
0.482732,150,320,31,-686,-12335,0,44
0.484403,150,320,31,-682,-12335,0,44
0.486037,150,320,31,-699,-12326,0,44
0.487608,150,320,31,-699,-12341,0,44
0.489243,150,320,31,-706,-12341,0,44
0.490794,150,320,31,-709,-12355,0,44
0.492374,150,320,31,-709,-12355,0,44
0.493965,150,320,32,-706,-12348,0,44
0.49557,150,320,32,-706,-12350,0,44
0.497061,150,320,32,-706,-12350,0,44
0.498736,150,320,32,-690,-12343,0,44
0.500358,150,320,32,-702,-12339,0,44
0.501944,150,320,32,-694,-12354,0,44
0.503576,150,320,32,-694,-12354,0,44
0.505162,150,320,32,-706,-12353,0,44
0.50675,150,320,32,-706,-12338,0,44
0.508462,150,320,32,-708,-12338,0,44
0.51002,150,320,32,-698,-12340,0,44
0.511585,150,320,32,-698,-12357,0,44
0.51311,150,320,32,-704,-12357,0,44
0.514578,150,320,31,-694,-12347,0,44
0.516059,150,320,31,-694,-12347,0,44
0.517696,150,320,32,-690,-12366,0,44
0.519271,150,320,32,-697,-12360,0,44
0.520946,150,320,32,-697,-12360,0,44
0.522602,150,320,32,-702,-12345,0,44
0.524249,150,320,31,-709,-12348,0,44
0.525813,150,320,31,-709,-12348,0,44
0.527401,150,320,31,-695,-12347,0,44
0.528873,150,320,31,-708,-12349,0,44
0.53043,150,320,31,-708,-12349,0,44
0.531947,150,320,32,-705,-12345,0,44
0.533594,150,320,32,-705,-12337,0,44
0.535247,150,320,31,-708,-12337,0,44
0.536848,150,320,32,-706,-12333,0,44
0.538472,150,320,32,-706,-12351,0,44
0.540046,150,320,31,-695,-12351,0,45
0.541701,150,320,31,-702,-12346,0,45
0.54338,150,320,31,-702,-12346,0,45
0.544925,150,320,32,-675,-12328,0,45
0.546441,150,322,32,-382,-12251,0,45
0.54788,150,322,31,200,-12189,0,45
0.549511,150,326,31,200,-12189,0,45
0.551148,150,326,31,788,-11802,0,45
0.552708,150,330,31,1280,-11323,0,45
0.554258,150,334.348,31,1280,-11323,0,45
0.555858,150,334.348,31,1278,-11318,0,45
0.557484,150,334.348,32,1278,-11719,0,45
0.559071,150,330,32,854,-11719,0,45
0.560691,150,327.333,32,417,-12091,0,45
0.56223,150,327.333,32,417,-12091,0,45
0.563734,150,324.667,32,39,-12242,0,45
0.565228,150,322.667,31,-271,-12252,0,45
0.566685,150,322.667,31,-271,-12252,0,45
0.568241,150,322.667,32,-281,-12233,0,45
0.569827,150,322.667,32,-31,-12229,0,45
0.571465,150,324.333,32,-31,-12229,0,45
0.573045,150,324.333,32,244,-12191,0,45
0.574632,150,326.333,32,449,-12089,0,45
0.576247,150,327.667,32,449,-12089,0,45
0.577812,150,329.333,31,678,-11895,0,45
0.579341,150,329.333,31,678,-11895,0,45
0.580866,150,330.869,31,937,-11653,0,45
0.582455,150,331.739,32,1024,-11553,0,45
0.584066,150,331.739,32,1024,-11553,0,45
0.585691,150,330.434,32,877,-11709,0,45
0.587259,150,329.333,32,685,-11898,0,45
0.588856,150,329.333,32,685,-11898,0,45
0.59047,150,328.667,31,570,-11992,0,45
0.592032,150,328.333,31,561,-11998,0,45
0.593603,150,328.333,31,632,-11942,0,45
0.595238,150,329,32,632,-11942,0,45
0.596748,150,329,32,764,-11819,0,45
0.598358,150,330,32,764,-11693,0,45
0.599943,150,330.434,32,897,-11693,0,45
0.601494,150,330.434,32,921,-11661,0,45
0.60311,150,330.869,32,921,-11661,0,45
0.604569,150,330,32,807,-11770,0,45
0.60608,150,329.667,32,705,-11868,0,45
0.607759,150,329.667,32,705,-11868,0,45
0.60936,150,329.333,31,688,-11888,0,45
