time,loopdelay,magangle,magtemp,magx,magy,magz,step_count
0.0025895,150,44,35,6626,13820,0,21
0.004886,150,45,35,6352,14333,0,21
0.007231,150,47,36,6076,14800,0,21
0.00959379,150,47,36,5784,15279,0,21
0.0118179,150,48,35,5563,15691,0,21
0.0139446,150,49,35,5563,15639,0,21
0.0158226,150,49,36,5586,15307,0,21
0.0177188,150,48,36,5787,15307,0,21
0.0196565,150,47,36,5980,14969,0,21
0.0212875,150,47,36,6081,14823,0,21
0.022855,150,47,36,6081,14835,0,21
0.0245216,150,47,36,6070,14835,0,21
0.0261425,150,47,36,5968,14990,0,21
0.0275705,150,48,36,5968,14990,0,21
0.0288938,150,48,36,5815,15266,0,21
0.0303348,150,48,36,5815,15266,0,21
0.0316899,150,49,36,5667,15487,0,21
0.033139,150,49,36,5660,15520,0,21
0.0345246,150,49,36,5660,15520,0,21
0.0359356,150,48,36,5759,15330,0,21
0.0373978,150,48,36,5759,15330,0,21
0.0388544,150,48,36,5878,15145,0,21
0.0403589,150,48,35,5912,15089,0,21
0.041787,150,48,35,5912,15089,0,21
0.0433753,150,48,35,5858,15165,0,21
0.0449177,150,48,35,5752,15336,0,21
0.0463805,150,48,36,5752,15336,0,21
0.0478539,150,48,36,5710,15440,0,21
0.0492672,150,49,36,5710,15440,0,21
0.0506292,150,48,36,5727,15403,0,21
0.0520095,150,48,36,5794,15280,0,21
0.0537526,150,48,36,5794,15280,0,21
0.0551488,150,48,36,5855,15200,0,21
0.0565913,150,48,36,5855,15205,0,21
0.0581498,150,48,36,5826,15205,0,21
0.059578,150,48,36,5826,15306,0,21
0.0611625,150,48,36,5785,15306,0,21
0.062714,150,48,36,5744,15364,0,21
0.0642903,150,48,36,5762,15366,0,21
0.0658252,150,48,36,5762,15366,0,21
0.0672734,150,48,35,5781,15289,0,21
0.0686614,150,48,35,5781,15240,0,21
0.0701538,150,48,35,5815,15240,0,21
0.0716896,150,48,35,5815,15254,0,21
0.073175,150,48,36,5804,15254,0,21
0.0746572,150,48,36,5781,15310,0,21
0.076165,150,48,36,5781,15310,0,21
0.0777385,150,48,36,5761,15344,0,21
0.0791703,150,48,36,5764,15326,0,21
0.080899,150,48,36,5794,15284,0,21
0.0826148,150,48,36,5794,15284,0,21
0.0841513,150,48,36,5796,15279,0,21
0.0856712,150,48,36,5788,15294,0,21
0.0872521,150,48,36,5788,15294,0,21
0.0887675,150,48,36,5785,15322,0,21
0.0902599,150,48,36,5785,15322,0,21
0.0916554,150,48,36,5773,15323,0,21
0.0932784,150,48,36,5773,15323,0,21
0.09478,150,48,35,5778,15315,0,21
0.0963574,150,48,35,5791,15288,0,21
0.0978778,150,48,36,5790,15293,0,21
0.0994525,150,48,36,5790,15293,0,21
0.100894,150,48,36,5780,15306,0,21
0.102393,150,48,36,5780,15314,0,21
0.103954,150,48,36,5772,15314,0,21
0.105352,150,48,36,5772,15296,0,21
0.106745,150,48,36,5772,15296,0,21
0.108136,150,48,36,5787,15315,0,21
0.109541,150,48,36,5792,15303,0,21
0.110941,150,48,35,5792,15303,0,21
0.112325,150,48,35,5792,15305,0,21
0.113712,150,48,36,5787,15305,0,21
0.115133,150,48,36,5772,15300,0,21
0.116532,150,48,36,5772,15300,0,21
0.117986,150,48,35,5782,15308,0,21
0.119559,150,48,35,5775,15305,0,22
0.120999,150,48,36,5775,15305,0,22
0.122436,150,48,36,5775,15324,0,22
0.123842,150,48,35,5756,15324,0,22
0.125242,150,49,35,5482,15775,0,22
0.126634,150,49,35,4917,16509,0,22
0.128025,150,51,36,4917,16509,0,22
0.129434,150,51,36,4218,17003,0,22
0.130832,150,53,36,4218,17003,0,22
0.132261,150,54,35,3861,17196,0,22
0.133761,150,54,35,3861,17196,0,22
0.135268,150,53,36,4124,17065,0,22
0.136721,150,53,36,4664,16734,0,22
0.138141,150,52,36,4664,16734,0,22
0.139536,150,52,36,5130,16302,0,22
0.140944,150,51,36,5130,16302,0,22
0.142353,150,50,36,5349,16006,0,22
0.143745,150,50,36,5309,16068,0,22
0.145154,150,50,36,5309,16068,0,22
0.146538,150,50,36,5039,16405,0,22
0.147899,150,51,36,5039,16405,0,22
0.149343,150,52,36,4641,16752,0,22
0.150767,150,52,36,4641,16752,0,22
0.152243,150,53,36,4250,17007,0,22
0.153647,150,53,36,4107,17061,0,22
0.155007,150,53,36,4107,17061,0,22
0.156434,150,53,36,4328,16959,0,22
0.157827,150,53,36,4328,16959,0,22
0.159243,150,52,36,4645,16772,0,22
0.160643,150,52,36,4877,16563,0,22
0.162031,150,51,36,4877,16563,0,22
0.163618,150,51,36,4969,16460,0,22
0.165268,150,51,36,4969,16523,0,22
0.166769,150,51,36,4932,16523,0,22
0.168349,150,51,36,4932,16644,0,22
0.169936,150,51,36,4796,16644,0,22
0.171518,150,52,36,4577,16802,0,22
0.173017,150,53,36,4376,16931,0,22
0.174615,150,53,36,4376,16931,0,22
0.176176,150,53,36,4293,16977,0,22
0.177752,150,53,36,4373,16931,0,22
0.179379,150,53,36,4373,16931,0,22
0.180946,150,52,35,4534,16853,0,22
0.182525,150,52,35,4641,16763,0,22
0.18402,150,52,36,4641,16763,0,22
0.185484,150,52,36,4663,16752,0,22
0.187035,150,52,36,4663,16752,0,22
0.188623,150,52,36,4602,16797,0,22
0.190195,150,52,36,4484,16874,0,22
0.191837,150,52,36,4484,16874,0,22
0.193494,150,52,36,4412,16909,0,22
0.195077,150,53,36,4406,16930,0,22
0.196646,150,53,36,4406,16930,0,22
0.198319,150,52,36,4458,16876,0,22
0.199905,150,52,36,4536,16839,0,22
0.201451,150,52,36,4558,16835,0,22
0.203055,150,52,36,4558,16835,0,22
0.204624,150,52,36,4535,16850,0,22
0.206271,150,52,36,4535,16887,0,22
0.207762,150,52,36,4480,16887,0,22
0.209406,150,52,36,4445,16913,0,22
0.210975,150,52,36,4445,16913,0,22
0.212605,150,52,36,4457,16897,0,22
0.214151,150,52,36,4457,16862,0,22
0.215702,150,52,36,4497,16862,0,22
0.217267,150,52,36,4520,16859,0,22
0.218693,150,52,36,4523,16852,0,22
0.220273,150,52,36,4523,16852,0,22
0.221844,150,52,36,4501,16867,0,22
0.223392,150,52,36,4463,16893,0,22
0.224955,150,52,36,4463,16893,0,22
0.226593,150,52,36,4464,16873,0,22
0.228156,150,52,36,4464,16871,0,22
0.229753,150,52,35,4491,16871,0,22
0.231312,150,52,35,4501,16863,0,22
0.232934,150,52,36,4501,16863,0,22
0.234458,150,52,36,4509,16858,0,22
0.236268,150,52,36,4485,16866,0,22
0.237843,150,52,36,4485,16866,0,22
0.239407,150,52,36,4479,16891,0,22
0.241043,150,52,36,4479,16886,0,22
0.242628,150,52,36,4479,16886,0,22
0.244185,150,52,36,4492,16872,0,22
0.245822,150,52,36,4505,16858,0,22
0.247423,150,52,36,4496,16889,0,22
0.248949,150,52,36,4496,16889,0,22
0.250478,150,52,36,4484,16869,0,22
