direction,duty,advance_deg,sample_hz,duration_ms,index,t_ms,angle_turn16,unwrapped_angle,position_turns,rpm,aligned_rpm
-1,150,90,250,300,39,156.000,39894,39894,0.000000,0,0
-1,150,90,250,300,40,160.000,39894,39894,0.000000,0,0
-1,150,90,250,300,41,164.000,39894,39894,0.000000,0,0
-1,150,90,250,300,42,168.000,39894,39894,0.000000,0,0
-1,150,90,250,300,43,172.000,39894,39894,0.000000,0,0
-1,150,90,250,300,44,176.000,39894,39894,0.000000,0,0
-1,150,90,250,300,45,180.000,39894,39894,0.000000,0,0
-1,150,90,250,300,46,184.000,39894,39894,0.000000,0,0
-1,150,90,250,300,47,188.000,39894,39894,0.000000,0,0
-1,150,90,250,300,48,192.000,39894,39894,0.000000,0,0
-1,150,90,250,300,49,196.000,39894,39894,0.000000,0,0
-1,150,90,250,300,50,200.000,39894,39894,0.000000,0,0
-1,150,90,250,300,51,204.000,39894,39894,0.000000,0,0
-1,150,90,250,300,52,208.000,39894,39894,0.000000,0,0
-1,150,90,250,300,53,212.000,39894,39894,0.000000,0,0
-1,150,90,250,300,54,216.000,39894,39894,0.000000,0,0
-1,150,90,250,300,55,220.000,39894,39894,0.000000,0,0
-1,150,90,250,300,56,224.000,39894,39894,0.000000,0,0
-1,150,90,250,300,57,228.000,39894,39894,0.000000,0,0
-1,150,90,250,300,58,232.000,39894,39894,0.000000,0,0
-1,150,90,250,300,59,236.000,39894,39894,0.000000,0,0
-1,150,90,250,300,60,240.000,39894,39894,0.000000,0,0
-1,150,90,250,300,61,244.000,39894,39894,0.000000,0,0
-1,150,90,250,300,62,248.000,39894,39894,0.000000,0,0
-1,150,90,250,300,63,252.000,39894,39894,0.000000,0,0
-1,150,90,250,300,64,256.000,39894,39894,0.000000,0,0
-1,150,90,250,300,65,260.000,39894,39894,0.000000,0,0
-1,150,90,250,300,66,264.000,39894,39894,0.000000,0,0
-1,150,90,250,300,67,268.000,39894,39894,0.000000,0,0
-1,150,90,250,300,68,272.000,39894,39894,0.000000,0,0
-1,150,90,250,300,69,276.000,39894,39894,0.000000,0,0
-1,150,90,250,300,70,280.000,39894,39894,0.000000,0,0
-1,150,90,250,300,71,284.000,39894,39894,0.000000,0,0
-1,150,90,250,300,72,288.000,39894,39894,0.000000,0,0
-1,150,90,250,300,73,292.000,39894,39894,0.000000,0,0
-1,150,90,250,300,74,296.000,39894,39894,0.000000,0,0
1,100,30,250,600,0,0.000,43280,43280,0.000000,0,0
1,100,30,250,600,1,4.000,43280,43280,0.000000,0,0
1,100,30,250,600,2,8.000,43280,43280,0.000000,0,0
1,100,30,250,600,3,12.000,43280,43280,0.000000,0,0
1,100,30,250,600,4,16.000,43280,43280,0.000000,0,0
1,100,30,250,600,5,20.000,43280,43280,0.000000,0,0
