direction,advance_deg,observer_lead_us,repeat,baseline_duty,pulse_duty,baseline_advance_deg,baseline_ms,pulse_ms,sample_hz,sample_count,missed_count,mct_fault_delta,faults,baseline_rpm,start_rpm,rpm_50ms,rpm_100ms,rpm_150ms,final_rpm,gain_0_50_rpm,gain_0_90_rpm,accel_0_50_rpm_s,accel_0_80_rpm_s,accel_20_120_rpm_s,accel_40_160_rpm_s,ripple_120_220,monotonic_fraction,valid,note
1,90,-100,0,100,200,90,700,160,1000,160,0,0,0,2514.076433121019,3238.181818181818,4553.0,3948.0,4344.0,4292.05,1151.3419913419912,1207.9610389610389,26910.226244343885,14290.176151761518,1102.0617355853233,-1120.928536703938,0.08167695370614424,1.0,True,
-1,90,-100,0,100,200,90,700,160,1000,160,0,0,0,2066.3694267515925,2902.2727272727275,3727.0,3371.0,4582.0,4218.4,1256.965367965368,1333.3939393939395,28941.357466063342,15989.88256549232,1217.8101339545708,-142.50989652059175,0.07755468040122095,1.0,True,
1,90,0,0,100,200,90,700,160,1000,160,0,0,0,2267.770700636943,2799.3636363636365,5026.0,3986.0,5162.0,4997.05,2028.0173160173158,2197.064935064935,50000.180995475115,26169.715447154475,4577.379149679674,1158.4658656851173,0.05218392639368277,1.0,True,
-1,90,0,0,100,200,90,700,160,1000,160,0,0,0,2045.2547770700637,2871.818181818182,5293.0,5336.0,5593.0,5039.2,2070.8008658008657,2178.2770562770565,51197.556561085985,26459.93676603433,4038.963308095515,610.9764566983821,0.07256180588260806,1.0,True,
1,90,100,0,100,200,90,700,160,1000,160,0,0,0,1471.2420382165606,2934.090909090909,6429.0,5534.0,5989.0,6026.1,2735.0043290043295,3038.8614718614717,70254.11764705881,37342.140921409205,6756.30751310425,1798.8367247725553,0.06891832632919305,1.0,True,
-1,90,100,0,100,200,90,700,160,1000,160,0,0,0,1669.0127388535032,2945.818181818182,5906.0,6552.0,6479.0,6043.35,2840.658008658009,3089.705627705627,70694.75113122171,37228.884372177075,7513.744903902152,1097.2949510382675,0.06073673183957725,1.0,True,
