direction,duty,advance_deg,sample_hz,duration_ms,result,sample_count,missed_count,mct_fault_count,faults,rpm_start,rpm_end,rpm_peak,accel_rpm_s,accel_window_rpm_s,final_rpm_mean,final_rpm_std,ripple,angle_delta_turns,monotonic_fraction,valid,note
-1,150,150,500,300,0,150,0,35,0,182.0,32.0,182.0,30.0,-13.006367700853538,35.5,26.370627599660953,0.7428345802721396,0.0079803466796875,0.5033557046979866,False,angle_not_monotonic
-1,200,30,500,300,0,150,0,35,0,518.0,6242.0,8136.0,20803.0,322.7746917761815,6993.3,415.06665729735505,0.05935204514283029,33.46257019042969,1.0,True,
-1,200,50,500,300,0,150,0,36,0,434.0,6114.0,7983.0,19923.0,294.8889039425549,6904.96,405.2947549623607,0.05869617709043364,33.104461669921875,1.0,True,
-1,200,70,500,300,0,150,0,37,0,409.0,5925.0,7634.0,19376.0,109.37542338436512,6593.18,360.14861876730834,0.0546244177721992,31.672760009765625,1.0,True,
-1,200,90,500,300,0,150,0,38,0,630.0,5951.0,6430.0,19446.0,88.76168540848128,5710.92,321.52361281871663,0.05629979282124713,27.588363647460938,1.0,True,
-1,200,110,500,300,0,150,0,39,0,588.0,4163.0,5259.0,13526.0,-229.5725511448312,4547.44,317.00076719150064,0.06970971957661908,21.900634765625,1.0,True,
-1,200,130,500,300,0,150,0,39,0,119.0,3701.0,3974.0,12183.0,-360.91315539899756,3098.74,420.8535997232292,0.1358144277103691,14.904678344726562,1.0,True,
-1,200,150,500,300,0,150,0,39,0,74.0,2.0,89.0,50.0,49.91193605202549,23.4,18.006665432555803,0.7695156167758891,0.0055084228515625,0.5436241610738255,False,angle_not_monotonic
-1,250,30,500,300,0,150,0,39,0,487.0,9049.0,10218.0,29663.0,1221.0913155398994,9087.48,420.30475800304714,0.046250969245934755,43.01176452636719,1.0,True,
-1,250,50,500,300,0,150,0,40,0,650.0,6156.0,7987.0,19736.0,627.0220837284921,6196.14,388.5304111649434,0.06270523441448117,30.112396240234375,1.0,True,
-1,250,70,500,300,0,150,0,41,0,653.0,4818.0,7408.0,15630.0,-2209.6565506028996,4800.64,308.69037950671543,0.06430192214094692,24.724761962890625,1.0,True,
-1,250,90,500,300,0,150,0,42,0,492.0,2125.0,5308.0,6683.0,-10217.616176669824,1833.8,347.04996758392014,0.18925180913072318,13.916046142578125,1.0,True,
-1,250,110,500,300,0,150,0,43,0,885.0,799.0,4849.0,1903.0,-3628.901910310253,1016.34,288.11772663270824,0.2834855723800187,7.1014556884765625,0.9664429530201343,True,
-1,250,130,500,300,0,150,0,44,0,289.0,47.0,4008.0,80.0,-7478.898523235333,24.66,22.241052133386138,0.9019080346060883,2.8644561767578125,0.6174496644295302,False,angle_not_monotonic
-1,250,150,500,300,0,150,0,45,0,42.0,10.0,83.0,60.0,24.200650318385033,25.72,15.906024016076424,0.6184301716981503,0.003875732421875,0.5234899328859061,False,angle_not_monotonic
