duty,hold_index,transition_index,from_step,target_step,sample_index,sample_time_ms,status_step,transition_count,x,y,z,angle_turn16,duty_reported,flags,faults,retry_count
130,0,-1,-1,0,0,4.605,0,1482,4112,-32624,-8760,0,130,16,0,0
130,0,-1,-1,0,1,61.145,0,1482,3752,-32624,-8784,0,130,16,0,0
130,0,-1,-1,0,2,120.387,0,1482,3872,-32624,-8776,0,130,16,0,0
130,0,-1,-1,0,3,181.092,0,1482,3872,-32624,-8784,0,130,16,0,0
130,1,0,0,1,0,4.769,1,1483,3888,-32624,-8800,10922,130,16,0,0
130,1,0,0,1,1,61.211,1,1483,4784,-32624,-8768,10922,130,16,0,0
130,1,0,0,1,2,120.567,1,1483,4720,-32624,-8784,10922,130,16,0,0
130,1,0,0,1,3,180.274,1,1483,4816,-32624,-8768,10922,130,16,0,0
130,2,1,1,2,0,4.931,2,1484,6072,-32624,-8624,21845,130,16,0,0
130,2,1,1,2,1,62.112,2,1484,7040,-32624,-8416,21845,130,16,0,0
130,2,1,1,2,2,121.854,2,1484,7232,-32624,-8368,21845,130,16,0,0
130,2,1,1,2,3,181.609,2,1484,7200,-32624,-8312,21845,130,16,0,0
130,3,2,2,3,0,4.634,3,1485,7216,-32624,-8360,32768,130,16,0,0
130,3,2,2,3,1,64.491,3,1485,7192,-32624,-8368,32768,130,16,0,0
130,3,2,2,3,2,124.658,3,1485,6840,-32624,-8400,32768,130,16,0,0
130,3,2,2,3,3,183.659,3,1485,6976,-32624,-8472,32768,130,16,0,0
130,4,3,3,4,0,4.935,4,1486,6800,-32624,-8432,43690,130,16,0,0
130,4,3,3,4,1,64.537,4,1486,6912,-32624,-8432,43690,130,16,0,0
130,4,3,3,4,2,119.687,4,1486,6864,-32624,-8424,43690,130,16,0,0
130,4,3,3,4,3,177.566,4,1486,6928,-32624,-8392,43690,130,16,0,0
130,5,4,4,5,0,4.91,5,1487,6784,-32624,-8456,54613,130,16,0,0
130,5,4,4,5,1,62.879,5,1487,6824,-32624,-8416,54613,130,16,0,0
130,5,4,4,5,2,121.067,5,1487,6488,-32624,-8408,54613,130,16,0,0
130,5,4,4,5,3,179.69,5,1487,-6200,-32624,-7912,54613,130,16,0,0
130,6,5,5,0,0,4.712,0,1488,-2584,-32624,-8544,0,130,16,0,0
130,6,5,5,0,1,62.112,0,1488,2088,-32624,-8840,0,130,16,0,0
130,6,5,5,0,2,122.664,0,1488,3536,-32624,-8720,0,130,16,0,0
130,6,5,5,0,3,179.409,0,1488,3824,-32624,-8728,0,130,16,0,0
130,7,6,0,1,0,5.128,1,1489,3960,-32624,-8744,10922,130,16,0,0
130,7,6,0,1,1,63.162,1,1489,4696,-32624,-8736,10922,130,16,0,0
130,7,6,0,1,2,118.576,1,1489,4696,-32624,-8736,10922,130,16,0,0
130,7,6,0,1,3,177.525,1,1489,4744,-32624,-8728,10922,130,16,0,0
130,8,7,1,2,0,4.755,2,1490,5464,-32624,-8704,21845,130,16,0,0
130,8,7,1,2,1,64.104,2,1490,7216,-32624,-8336,21845,130,16,0,0
130,8,7,1,2,2,121.041,2,1490,7232,-32624,-8320,21845,130,16,0,0
130,8,7,1,2,3,181.254,2,1490,7200,-32624,-8368,21845,130,16,0,0
130,9,8,2,3,0,4.665,3,1491,7120,-32624,-8352,32768,130,16,0,0
130,9,8,2,3,1,60.238,3,1491,7216,-32624,-8320,32768,130,16,0,0
130,9,8,2,3,2,121.991,3,1491,6872,-32624,-8408,32768,130,16,0,0
130,9,8,2,3,3,181.978,3,1491,6992,-32624,-8424,32768,130,16,0,0
130,10,9,3,4,0,4.722,4,1492,6976,-32624,-8368,43690,130,16,0,0
130,10,9,3,4,1,64.692,4,1492,6928,-32624,-8392,43690,130,16,0,0
130,10,9,3,4,2,124.688,4,1492,6968,-32624,-8400,43690,130,16,0,0
