duty,status,fail_transition,net_deg,expected_deg,mean_step_deg,median_step_deg,std_step_deg,min_step_deg,max_step_deg,mean_hold_spread_deg,max_hold_spread_deg,good_steps,reverse_steps,big_jumps,clip_samples,sensor_ok_samples,x_clip,y_clip,z_clip,z_mean,z_std
130,fail,55,455.01039087144267,550.0,8.272916197662594,5.849216700809933,12.533266920067716,-33.31139775507553,38.09747280787689,10.114305380434201,39.57081833747736,16,2,12,16,224,0,16,0,-3342.25,5494.432046074332
131,ok,-1,719.7196983804674,720.0,9.996106921950936,6.379373437504391,9.664927561528057,0.08023254592671947,41.635842729950355,9.889556503960632,39.57929128386269,28,0,10,35,292,0,35,0,-753.5068493150685,5292.741551092913
132,ok,-1,719.918874390771,720.0,9.998873255427377,6.1627813269416265,9.512532108926612,-0.12098095494263816,42.12635359785514,9.388266216868033,42.05391289470799,31,0,10,11,292,0,11,0,-738.6301369863014,5287.32572822519
133,fail,6,227.4363564265376,60.0,37.90605940442293,27.5640853660163,35.19969950181648,9.007050041259603,113.63520092508818,34.68509051366391,134.1796225008104,2,0,4,0,28,0,0,0,4346.0,1640.506716144218
134,ok,-1,-1435.4710853212453,720.0,-19.937098407239514,6.0952385579028245,102.41594283517571,-175.05890119960702,179.98704289152874,75.8093752157016,179.41421832624098,19,28,44,0,292,0,0,0,1272.3013698630136,4572.8166575043015
135,ok,-1,174.64320519399035,720.0,2.4256000721387547,4.29915822226468,79.57903520332546,-177.73765139439786,158.81964828217852,42.72226514363102,178.13892216331817,21,11,19,0,292,0,0,0,-126.84931506849315,2994.6188069956183
136,ok,-1,3959.274416895881,720.0,54.98992245688724,11.337291544074894,80.19100504340008,-161.77960101249045,179.88684148794232,63.04234814553095,179.8148361385667,12,2,37,0,292,0,0,0,203.8082191780822,2412.4104165781237
137,ok,-1,2159.1125285971766,720.0,29.987674008294114,3.8369775563327266,88.2932942099225,-156.65092291972644,179.74247544642049,54.41393683071717,179.5596622553752,17,8,24,0,292,0,0,0,-1394.958904109589,2559.329109642176
138,ok,-1,125.38947063076401,720.0,1.7415204254272776,2.560436391960856,79.04040651479077,-167.82393750040842,93.14999149540652,51.99975870745496,179.81707238485615,7,13,37,0,292,0,0,0,-2330.5205479452056,2400.805938364734
139,ok,-1,388.9141554319493,720.0,5.401585492110408,9.247520316283655,68.23018968573781,-174.59847661682448,147.68062922996754,73.15152908057944,178.95011731731313,17,17,36,0,292,0,0,0,768.3561643835617,4043.3349160080647
140,ok,-1,1632.2566705990296,720.0,22.67023153609763,10.356299094895803,76.09186368903454,-171.72679721320839,168.95219057961515,77.75738244273136,175.76536780297604,13,15,42,0,292,0,0,0,-1411.4246575342465,4801.084295105334
141,ok,-1,1908.3586078836406,720.0,26.504980665050567,14.675911114528668,83.73448466089353,-178.75316082669679,170.1543331923658,90.15387748586035,178.9346579293811,17,13,44,0,292,0,0,0,-1119.2876712328766,4690.238459572842
142,ok,-1,756.1277643348891,720.0,10.501774504651236,10.269504313104271,78.78789729291256,-172.42855668040914,176.74653500022933,78.02897913305702,179.65542169344087,10,19,42,0,292,0,0,0,-1728.7945205479452,4179.59002039675
143,ok,-1,-547.5578852312544,720.0,-7.604970628211869,11.940567851811807,103.48367518291643,-173.32437978710433,178.83655170809914,99.37519544035467,178.2118930276657,7,29,56,0,292,0,0,0,-1273.835616438356,4677.894986767512
144,fail,52,-693.9454781117669,520.0,-13.345105348303209,4.876028028123869,82.15729719148047,-175.222296412993,164.35593548345963,57.48552180530189,165.97389577013354,7,19,33,0,212,0,0,0,-1901.7358490566037,4222.034098657219
145,ok,-1,298.81881917355065,720.0,4.150261377410426,25.42234129597335,71.87180830707116,-150.28751120050975,115.54390630094824,52.33626958044455,168.023866300033,2,13,50,0,292,0,0,0,-2849.4520547945203,2337.1806633593196
146,fail,69,-992.3835342667626,690.0,-14.38237006183714,1.2954001641876403,79.60322006941583,-178.77140154873535,179.1211190086742,83.28842241049942,179.81569024836745,2,30,48,0,280,0,0,0,-1703.7714285714285,4078.906009393865
147,ok,-1,-351.95889280583947,720.0,-4.888317955636658,6.732068991234257,72.92773621451217,-158.5588699896253,165.57596080702456,71.09059169233552,178.92668139079194,6,24,53,0,292,0,0,0,-2358.4657534246576,3847.971727184431
148,ok,-1,742.8473930047862,720.0,10.317324902844254,8.959433615358975,81.42785521965884,-177.80537838750087,179.56591933443394,114.09161960336189,179.22658280517223,6,24,47,0,292,0,0,0,-1065.2328767123288,4751.855356524447
149,ok,-1,483.7696657419788,720.0,6.719023135305259,9.478946874073815,79.86176905291849,-177.0080753890872,170.01702569920784,76.59750958468896,179.9537380736632,9,22,46,0,292,0,0,0,-1866.958904109589,4337.5507022052825
150,ok,-1,957.4656679287998,720.0,13.298134276788886,8.374300278435982,86.8874451981704,-175.22515241511357,178.13001942838844,84.27734230694357,179.65174325218945,6,20,46,0,292,0,0,0,-1749.2054794520548,4951.925561435407
