time_us,time_ms,v_angle,v_vel,v_vbat,v_set_volts,p_position,p_velocity
1168,1.168,-2.5245490074157715,-0.0685577392578125,7.426483154296875,0.20000000298023224,1.1100000143051147,0.0
3175,3.175,-2.523015022277832,0.6106109619140625,7.4228057861328125,0.20000000298023224,1.1200000047683716,-10.0
5179,5.179,-2.4957869052886963,8.173721313476562,7.4231109619140625,0.20000000298023224,1.1200000047683716,-10.0
7186,7.186,-2.4534106254577637,16.34014892578125,7.421844482421875,0.20000000298023224,1.1100000143051147,0.0
9194,9.194,-2.3987624645233154,22.383468627929688,7.423797607421875,0.20000000298023224,1.1200000047683716,0.0
11195,11.195,-2.336444616317749,27.778961181640625,7.426025390625,0.20000000298023224,1.1200000047683716,10.0
13200,13.2,-2.264922618865967,32.30296325683594,7.42523193359375,0.20000000298023224,1.1200000047683716,-10.0
15209,15.209,-2.1904287338256836,35.62287902832031,7.42572021484375,0.20000000298023224,1.1100000143051147,0.0
17209,17.209,-2.1069226264953613,39.70892333984375,7.4238739013671875,0.20000000298023224,1.1100000143051147,-10.0
19209,19.209,-2.0170888900756836,42.08036804199219,7.4224395751953125,0.20000000298023224,1.1100000143051147,10.0
21215,21.215,-1.9345415830612183,42.03797912597656,7.4244537353515625,0.20000000298023224,1.1100000143051147,-10.0
23226,23.226,-1.8514189720153809,41.76713562011719,7.4260101318359375,0.20000000298023224,1.1100000143051147,0.0
25232,25.232,-1.7708849906921387,41.08807373046875,7.4303741455078125,0.20000000298023224,1.1100000143051147,10.0
27235,27.235,-1.683735728263855,42.11354064941406,7.4285125732421875,0.20000000298023224,1.1200000047683716,-10.0
29235,29.235,-1.5965864658355713,43.60542297363281,7.422210693359375,0.20000000298023224,1.1200000047683716,10.0
31237,31.237,-1.507999062538147,43.7777099609375,7.4272918701171875,0.20000000298023224,1.1200000047683716,-10.0
33243,33.243,-1.3805826902389526,42.85453796386719,7.4233856201171875,0.20000000298023224,1.1100000143051147,-10.0
35246,35.246,-1.3383982181549072,42.92376708984375,7.4239654541015625,0.20000000298023224,1.1100000143051147,10.0
37255,37.255,-1.2113654613494873,41.803863525390625,7.4257354736328125,0.20000000298023224,1.1100000143051147,0.0
39260,39.26,-1.1218193769454956,44.20233154296875,7.4266815185546875,0.20000000298023224,1.1200000047683716,10.0
41269,41.269,-1.0809770822525024,43.129791259765625,7.425994873046875,0.20000000298023224,1.1100000143051147,-10.0
43271,43.271,-0.9551907181739807,42.97285461425781,7.4253082275390625,0.20000000298023224,1.1200000047683716,10.0
45281,45.281,-0.8707258701324463,41.81402587890625,7.4247589111328125,0.20000000298023224,1.1200000047683716,10.0
47290,47.29,-0.7882744073867798,42.59645080566406,7.4222412109375,0.20000000298023224,1.1200000047683716,-10.0
49294,49.294,-0.7025632262229919,42.03050231933594,7.42523193359375,0.20000000298023224,1.1100000143051147,0.0
51294,51.294,-0.6192488670349121,42.68829345703125,7.4249420166015625,0.20000000298023224,1.1100000143051147,-10.0
53295,53.295,-0.5382355451583862,40.62739562988281,7.4237823486328125,0.20000000298023224,1.1200000047683716,10.0
55302,55.302,-0.4520449638366699,41.633880615234375,7.423095703125,0.20000000298023224,1.1100000143051147,0.0
57306,57.306,-0.3658544421195984,41.969146728515625,7.4275665283203125,0.20000000298023224,1.1100000143051147,-10.0
59316,59.316,-0.2751578092575073,44.672698974609375,7.4248504638671875,0.20000000298023224,1.1100000143051147,0.0
61318,61.318,-0.18992599844932556,44.26014709472656,7.4268798828125,0.20000000298023224,1.1100000143051147,0.0
63321,63.321,-0.10843326896429062,41.30982971191406,7.425811767578125,0.20000000298023224,1.100000023841858,-10.0
65325,65.325,-0.030487868934869766,40.463348388671875,7.422607421875,0.20000000298023224,1.1200000047683716,10.0
67331,67.331,0.05637379735708237,41.790252685546875,7.4254302978515625,0.20000000298023224,1.1100000143051147,0.0
69332,69.332,0.14150972664356232,42.72358703613281,7.4287261962890625,0.20000000298023224,1.1200000047683716,0.0
71335,71.335,0.23278158903121948,44.374725341796875,7.426483154296875,0.20000000298023224,1.1200000047683716,0.0
73336,73.336,0.3118774890899658,41.40789794921875,7.425140380859375,0.20000000298023224,1.1200000047683716,10.0
75342,75.342,0.39269909262657166,40.96563720703125,7.4250335693359375,0.20000000298023224,1.1200000047683716,-10.0
77349,77.349,0.47332894802093506,40.49058532714844,7.424072265625,0.20000000298023224,1.1100000143051147,0.0
79358,79.358,0.5612452626228333,42.751678466796875,7.4266815185546875,0.20000000298023224,1.1100000143051147,0.0
81364,81.364,0.6518459916114807,44.31681823730469,7.4259185791015625,0.20000000298023224,1.1100000143051147,-10.0
83366,83.366,0.7389952540397644,43.907623291015625,7.4268646240234375,0.20000000298023224,1.1100000143051147,10.0
85366,85.366,0.8171324133872986,40.84465026855469,7.4266815185546875,0.20000000298023224,1.1100000143051147,0.0
87373,87.373,0.89996737241745,40.79335021972656,7.4284515380859375,0.20000000298023224,1.1100000143051147,10.0
89377,89.377,0.9804055094718933,40.82298278808594,7.4232940673828125,0.20000000298023224,1.1200000047683716,10.0
91378,91.378,1.071869134902954,43.44541931152344,7.42755126953125,0.20000000298023224,1.1100000143051147,-10.0
93378,93.378,1.1604565382003784,44.21087646484375,7.4228973388671875,0.20000000298023224,1.1100000143051147,-10.0
95383,95.383,1.2440584897994995,42.79548645019531,7.421173095703125,0.20000000298023224,1.1100000143051147,0.0
97386,97.386,1.3254553079605103,41.34980773925781,7.428070068359375,0.20000000298023224,1.1200000047683716,0.0
